,Price
2022-05-22,64.11438889571306
2022-05-23,61.76846087704214
2022-05-24,61.322982434590344
2022-05-25,61.94202186463579
2022-05-26,63.68758444908488
2022-05-27,64.23482188920279
2022-05-28,64.23482188920279
2022-05-29,66.16936432870654
2022-05-30,67.00346149121728
2022-05-31,64.01730377103549
2022-06-01,64.99295909593415
2022-06-02,65.3002456700651
2022-06-03,66.58132968922736
2022-06-04,66.58132968922736
2022-06-05,66.58132968922736
2022-06-06,66.64076526225278
2022-06-07,67.19477336936494
2022-06-08,68.63698562830119
2022-06-09,68.88524874094091
2022-06-10,68.96983417270606
2022-06-11,68.96983417270606
2022-06-12,68.96983417270606
2022-06-13,69.77200282520575
2022-06-14,68.53356344429432
2022-06-15,66.49125230315686
2022-06-16,67.08170065102567
2022-06-17,63.15445154157966
2022-06-18,63.15445154157966
2022-06-19,63.71002825205748
2022-06-20,63.58469966834541
2022-06-21,63.88778774106375
2022-06-22,60.43835953814027
2022-06-23,59.256039798550546
2022-06-24,60.75702923473776
2022-06-25,60.75702923473776
2022-06-26,60.75702923473776
2022-06-27,61.72287556811202
2022-06-28,63.567095565655315
2022-06-29,62.93623387790198
2022-06-30,60.38967571551406
2022-07-01,62.061130082299464
2022-07-02,62.061130082299464
2022-07-03,63.709969291241855
2022-07-04,65.03849649920159
2022-07-05,57.72111779879621
2022-07-06,57.28433853334971
2022-07-07,59.98157474511731
2022-07-08,61.209831716005404
2022-07-09,61.209831716005404
2022-07-10,61.209831716005404
2022-07-11,61.893377349219996
2022-07-12,57.07371883061049
2022-07-13,57.25923596609753
2022-07-14,56.89985259796094
2022-07-15,57.55980223559759
2022-07-16,57.55980223559759
2022-07-17,57.55980223559759
2022-07-18,60.19422429676944
2022-07-19,60.49226016459894
2022-07-20,60.25189534455226
2022-07-21,56.28988699177005
2022-07-22,55.57607787741063
2022-07-23,55.57607787741063
2022-07-24,55.57607787741063
2022-07-25,56.720428694263596
2022-07-26,56.37716742414936
2022-07-27,57.34255128362609
2022-07-28,57.003924579290015
2022-07-29,58.13200159685542
2022-07-30,58.13200159685542
2022-07-31,58.13200159685542
2022-08-01,55.27965729025917
2022-08-02,56.31445276992998
2022-08-03,54.21217540842648
2022-08-04,52.48114727920403
2022-08-05,53.111991155877654
2022-08-06,53.111991155877654
2022-08-07,53.111991155877654
2022-08-08,54.15573332514434
2022-08-09,53.91655202063628
2022-08-10,54.37720181795848
2022-08-11,55.66304508045694
2022-08-12,54.740062645866594
2022-08-13,54.740062645866594
2022-08-14,54.740062645866594
2022-08-15,53.69089485321213
2022-08-16,52.01244564549809
2022-08-17,52.88759366171231
2022-08-18,54.8396996683454
2022-08-19,55.33492691315563
2022-08-20,55.33492691315563
2022-08-21,55.33492691315563
2022-08-22,55.80765016582729
2022-08-23,57.43792224542438
2022-08-24,58.157867583834914
2022-08-25,56.75669819432501
2022-08-26,56.9422460385702
2022-08-27,56.9422460385702
2022-08-28,56.9422460385702
2022-08-29,59.08341665643041
2022-08-30,55.90475862916103
2022-08-31,54.34646665028866
2022-09-01,53.23483970028252
2022-09-02,53.352880481513324
2022-09-03,53.352880481513324
2022-09-04,54.444862424763535
2022-09-05,55.01401793391474
2022-09-06,53.63173688736028
2022-09-07,50.115064488392086
2022-09-08,51.024632723252665
2022-09-09,52.812094337305
2022-09-10,52.812094337305
2022-09-11,52.812094337305
2022-09-12,53.03546185972239
2022-09-13,53.5151037956025
2022-09-14,54.16464807763174
2022-09-15,51.96913155631986
2022-09-16,51.95857757032305
2022-09-17,51.95857757032305
2022-09-18,51.95857757032305
2022-09-19,52.294926913155635
2022-09-20,51.69305859231052
2022-09-21,51.45673258813414
2022-09-22,51.84657965851861
2022-09-23,49.57787741063751
2022-09-24,49.57787741063751
2022-09-25,49.57787741063751
2022-09-26,48.68277238668468
2022-09-27,49.80088502640953
2022-09-28,51.24277115833434
2022-09-29,50.30571797076526
2022-09-30,49.31966097531016
2022-10-01,49.31966097531016
2022-10-02,49.31966097531016
2022-10-03,51.681150964255
2022-10-04,52.58024198501413
2022-10-05,53.958990296032425
2022-10-06,54.93068971870777
2022-10-07,57.57484952708512
2022-10-08,57.57484952708512
2022-10-09,57.57484952708512
2022-10-10,56.86592801867093
2022-10-11,55.660664537526095
2022-10-12,54.446877533472545
2022-10-13,55.248286451295904
2022-10-14,53.47164046185972
2022-10-15,53.47164046185972
2022-10-16,53.47164046185972
2022-10-17,52.7520777545756
2022-10-18,51.13623326372681
2022-10-19,53.10401670556441
